Text,Words,Period,Year,sub XVS,sub SXV full all,sub XSV full all,sub SXV approx,sub XSV approx,sub XVS/100k Words,sub XVS/XVS+SXV+XSV,mat XYVS,mat XYVS/100k words,mat XYSV full,mat XSYV full,mat SXYV full,mat XYVS/(XYVS+XYSV+XSYV+SXYV),mat XYVS+sub XVS/100k,Mat XVS pronoun,Mat XVS pron/100k,PPVS fullNP,PPSV fullNP,PPVS pronoun,PPSV pronoun
edincmct,14087,,1325,6,14,8,10,6,42.59246113,0.272727273,11,78.08617875,3,2,2,0.611111111,120.6786399,61,433.0233549,6,13,24,50
cmayenbi,45944,m2,1340,2,,,5,0,4.353125544,0.285714286,1,2.176562772,2,1,2,0.166666667,6.529688316,10,21.76562772,40,7,1,30
cmearlps,44521,m2,1350,0,1,,1,0,0,0,0,0,1,0,1,0,0,10,22.46131039,9,18,6,28
cmboeth,10415,m3,1380,3,,,1,4,28.80460874,0.375,3,28.80460874,0,0,0,1,57.60921747,5,48.00768123,1,1,0,2
cmotest,10015,m3,1382,0,,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,47,0,18
cmpolych,46444,m3,1387,0,4,9,3,6,0,0,2,4.306261304,20,7,1,0.066666667,4.306261304,1,2.153130652,29,185,1,93
cmctmeli,17005,m3,1390,8,,,3,6,47.04498677,0.470588235,0,0,1,0,0,0,47.04498677,7,41.16436342,5,4,1,4
cmctpars,30416,m3,1390,4,,,3,5,13.15097317,0.333333333,2,6.575486586,2,0,0,0.5,19.72645976,22,72.33035245,15,5,11,16
cmedvern,12843,m3,1390,4,,,0,0,31.14537102,1,1,7.786342755,0,0,0,1,38.93171377,13,101.2224558,18,4,9,38
cmntest,11081,m3,1395,0,1,1,1,1,0,0,0,0,3,0,0,0,0,1,9.024456277,3,62,0,24
cmpurvey,39704,m3,1397,1,,4,5,3,2.518637921,0.111111111,0,0,6,2,0,0,2.518637921,1,2.518637921,3,87,0,30
cmaelr3,17013,m23,1400,0,4,4,3,3,0,0,1,5.877858109,3,1,0,0.2,5.877858109,2,11.75571622,3,2,0,7
cmbrut3,49099,m3,1400,0,18,6,13,4,0,0,0,0,3,0,1,0,0,3,6.110104075,18,10,1,11
cmmandev,49690,m3,1400,6,,,2,11,12.07486416,0.315789474,3,6.037432079,0,1,0,0.75,18.11229624,4,8.049909439,67,44,0,10
cmwycser,56402,m3,1400,8,,,17,8,14.18389419,0.242424242,0,0,1,1,0,0,14.18389419,13,23.04882806,20,10,7,9
cmbenrul,18221,m3,1425,5,2,2,1,1,27.44086494,0.714285714,7,38.41721091,0,0,0,1,65.85807585,106,581.7463366,55,1,54,9
cmcloud,15599,m3,1425,3,,,1,3,19.23200205,0.428571429,2,12.8213347,0,0,0,1,32.05333675,11,70.51734086,2,0,5,18
cmedthor,13949,m34,1440,5,,,1,0,35.84486343,0.833333333,4,28.67589074,0,1,0,0.8,64.52075418,39,279.5899348,9,1,29,31
cmrollep,17960,m24,1440,0,1,,1,0,0,0,1,5.567928731,0,0,1,0.5,5.567928731,7,38.97550111,9,8,2,13
cmaelr4,11181,m4,1450,1,,,1,2,8.943743851,0.25,2,17.8874877,0,0,0,1,26.83123155,12,107.3249262,5,4,5,14
cmkempe,60212,m4,1450,3,,,7,2,4.982395536,0.25,2,3.321597024,4,0,0,0.333333333,8.30399256,28,46.50235833,3,18,5,46
cmrolltr,17631,m24,1450,0,,,7,0,0,0,3,17.01548409,2,1,0,0.5,17.01548409,11,62.39010833,4,16,2,21
cmcapchr,52716,m4,1464,1,,6,5,4,1.896957281,0.1,8,15.17565824,9,9,1,0.296296296,17.07261552,56,106.2296077,219,151,15,61
cmmalory,57775,m4,1470,3,,10,7,7,5.192557334,0.176470588,15,25.96278667,30,1,0,0.326086957,31.15534401,43,74.42665513,10,17,4,53
cmgregor,37326,m4,1475,0,1,,1,0,0,0,2,5.35819536,11,2,0,0.133333333,5.35819536,0,0,1,7,0,4
cmmirk,57548,m34,1500,0,,15,8,11,0,0,0,0,9,5,0,0,0,10,17.3767985,2,26,1,28
